model,1769120768.551,0.65,0.2294,0.55,0.2446
model,1769120768.846,0.64,0.2276,0.59,0.2437
model,1769120769.127,0.55,0.2381,0.66,0.2216
model,1769120769.429,0.63,0.2295,0.67,0.2193
model,1769120769.741,0.67,0.2104,0.57,0.2448
model,1769120770.024,0.62,0.2348,0.63,0.2297
model,1769120770.315,0.59,0.2402,0.63,0.2275
model,1769120770.578,0.67,0.2222,0.64,0.235
model,1769120770.838,0.62,0.2275,0.65,0.2152
model,1769120771.119,0.64,0.2196,0.71,0.2207
model,1769120771.379,0.63,0.2189,0.59,0.2277
model,1769120771.631,0.65,0.2156,0.63,0.2325
model,1769120771.915,0.63,0.2202,0.59,0.2193
model,1769120772.149,0.59,0.2461,0.54,0.2465
model,1769120772.444,0.61,0.2333,0.6,0.2336
model,1769120772.704,0.57,0.2398,0.65,0.2106
model,1769120772.969,0.6,0.2371,0.71,0.2074
model,1769120773.239,0.53,0.2596,0.61,0.2433
model,1769120773.492,0.68,0.2211,0.69,0.2088
model,1769120773.758,0.69,0.219,0.66,0.2187
model,1769120774.013,0.58,0.2477,0.65,0.2388
model,1769120774.249,0.54,0.2583,0.64,0.2167
model,1769120774.514,0.68,0.212,0.63,0.2209
model,1769120774.775,0.65,0.2289,0.56,0.2569
model,1769120775.02,0.69,0.2195,0.68,0.2103
model,1769120775.285,0.56,0.2397,0.62,0.2265
model,1769120775.527,0.55,0.2397,0.68,0.2154
model,1769120775.799,0.61,0.2379,0.57,0.2306
model,1769120776.062,0.76,0.216,0.64,0.2271
model,1769120776.32,0.63,0.2216,0.64,0.2302
model,1769120776.563,0.7,0.2207,0.62,0.2236
model,1769120776.826,0.54,0.2455,0.63,0.2193
model,1769120777.073,0.63,0.2349,0.66,0.23
model,1769120777.351,0.62,0.2292,0.65,0.2201
model,1769120777.561,0.6,0.2212,0.58,0.2236
model,1769120777.801,0.63,0.2305,0.64,0.2215
model,1769120778.0,0.66,0.2116,0.58,0.2317
model,1769120778.199,0.63,0.2316,0.71,0.2111
model,1769120778.409,0.66,0.2303,0.64,0.2193
model,1769120778.616,0.6,0.2373,0.63,0.2213
model,1769120778.832,0.67,0.2081,0.69,0.2213
model,1769120779.032,0.54,0.2301,0.63,0.2198
model,1769120779.248,0.61,0.2399,0.72,0.204
model,1769120779.471,0.55,0.2446,0.61,0.2256
model,1769120779.681,0.68,0.2093,0.52,0.2523
model,1769120779.901,0.68,0.219,0.61,0.2292
model,1769120780.117,0.76,0.1972,0.64,0.2164
model,1769120780.317,0.61,0.246,0.65,0.224
model,1769120780.553,0.56,0.2492,0.67,0.2203
model,1769120780.783,0.64,0.2143,0.68,0.214
model,1769120780.996,0.64,0.2169,0.7,0.2041
model,1769120781.203,0.6,0.2244,0.59,0.2235
model,1769120781.425,0.68,0.2183,0.67,0.2136
model,1769120781.691,0.71,0.2143,0.61,0.2195
model,1769120781.94,0.65,0.2235,0.58,0.2367
model,1769120782.197,0.54,0.2531,0.68,0.2188
model,1769120782.447,0.72,0.2157,0.49,0.2579
model,1769120782.718,0.7,0.2058,0.64,0.2347
model,1769120782.979,0.54,0.2469,0.63,0.2323
model,1769120783.246,0.55,0.2534,0.67,0.2156
model,1769120783.518,0.68,0.211,0.61,0.2306
model,1769120783.761,0.62,0.2183,0.7,0.2144
model,1769120784.022,0.61,0.2452,0.65,0.2275
model,1769120784.271,0.63,0.2273,0.64,0.2197
model,1769120784.527,0.74,0.2093,0.6,0.2345
model,1769120784.817,0.6,0.2164,0.55,0.2462
model,1769120785.083,0.67,0.2106,0.61,0.2198
model,1769120785.309,0.63,0.2193,0.66,0.2073
model,1769120785.541,0.62,0.2367,0.7,0.2163
model,1769120785.751,0.69,0.2122,0.65,0.2254
model,1769120785.978,0.75,0.1998,0.52,0.267
model,1769120786.184,0.63,0.2309,0.68,0.2005
model,1769120786.381,0.6,0.2306,0.59,0.2295
model,1769120786.609,0.65,0.2202,0.62,0.2172
model,1769120786.84,0.58,0.2353,0.57,0.2668
model,1769120787.039,0.56,0.264,0.59,0.238
model,1769120787.224,0.63,0.2338,0.63,0.2145
model,1769120787.469,0.64,0.2163,0.74,0.1937
model,1769120787.659,0.7,0.2038,0.57,0.2499
model,1769120787.868,0.6,0.2278,0.71,0.2171
model,1769120788.09,0.58,0.2251,0.58,0.2535
model,1769120788.287,0.68,0.2129,0.63,0.2364
model,1769120788.475,0.53,0.2582,0.57,0.2334
model,1769120788.671,0.63,0.2211,0.71,0.2121
model,1769120788.881,0.59,0.2304,0.68,0.2173
model,1769120789.1,0.66,0.2216,0.56,0.2423
model,1769120789.304,0.57,0.2392,0.56,0.2361
model,1769120789.514,0.52,0.2348,0.66,0.2138
model,1769120789.775,0.68,0.2153,0.56,0.2319
model,1769120790.027,0.58,0.2292,0.63,0.2273
model,1769120790.276,0.65,0.2286,0.59,0.2294
model,1769120790.527,0.54,0.2548,0.67,0.224
model,1769120790.792,0.51,0.2485,0.64,0.2161
model,1769120791.059,0.68,0.2044,0.68,0.1934
model,1769120791.316,0.64,0.2157,0.57,0.2336
model,1769120791.579,0.56,0.2432,0.58,0.2378
model,1769120791.834,0.5,0.2541,0.67,0.2114
model,1769120792.089,0.62,0.2252,0.66,0.2153
model,1769120792.303,0.57,0.236,0.57,0.2275
model,1769120792.579,0.59,0.2388,0.65,0.2041
model,1769120792.848,0.65,0.2189,0.64,0.2355
model,1769120793.11,0.7,0.2116,0.63,0.2146
model,1769120793.369,0.66,0.2088,0.7,0.2106
model,1769120793.617,0.7,0.2097,0.62,0.2287
model,1769120793.857,0.67,0.2179,0.66,0.2243
model,1769120794.111,0.67,0.2087,0.59,0.2302
model,1769120794.388,0.64,0.2154,0.63,0.232
model,1769120794.632,0.7,0.2026,0.62,0.229
model,1769120794.873,0.65,0.217,0.67,0.2133
model,1769120795.216,0.7,0.2111,0.68,0.2089
model,1769120795.488,0.69,0.2033,0.63,0.2284
